bk	ck	命中词
0520A0082977A48DB7A338CF8411D45E	68901B8502B5ABD183B3B689A98914CC	反革命分子
9F9304E8896F9590D62188305B519ACD	2AA10631E7CAF5C8D326E8177CE4B42A	反共
55E2E2EC5CEDAD779B1E4D9D7593458C	E8345050EE9F9B99FD1002367311F7AE	反政府事件
730E65C55DAF637E312BAB6E1527DA50	D4955581B642537C79A6C4C01237177C	反共
730E65C55DAF637E312BAB6E1527DA50	EDF95CE8355FEF8E06A6BD95E1764C56	反共
1A679FBDF9BA38F6FA29695624CF2B23	65F706EE8C665C088054B1BA51E46CA2	江元老
AE7FD747C83F341C58911FBDECF1F14E	A6479BE30C00C5D70D9DD702D2ED22D6	当装甲车
FDC4133A3686227C09602465E72B0321	5975A50920110DC07272D3EC8C72C92E	六月四号###六月四
FB2BAD1A4A4B0D0485199AFEF8B8BA22	05C08B08C6A40D6E8145BDCE6F9ADD08	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	08AFA530E81A0AADAB06905C5614A838	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	0AE79A9AE0233B64C506FB5BBABFE5A6	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	0B640427543730CA3FB4155E3E064D86	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	0CF968640896EFDE5675CF628E4154B2	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	0D8B5D643BDFF004AE016EE689D55695	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	1321C0A46A29FAD853F8234A81C643B3	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	14A8049F70F23A867FB41D46A066B63E	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	17029E954EA75F66D4748DB5609C464F	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	199B522AF9156CD79D5BB8DA1EEB43F5	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	1A0FDD64E94119A611989286AAE1AC38	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	1BB7D13B07606C86E7934BDD4ECD51EF	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	1BEB973D2B9FAE552CAE822D8455198E	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	1C7D574124101C74272F3BFB497C348A	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	1F46C5C669686269D2E1D4A47B48525C	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	2721B43A6695BDDC70BF896F766719C1	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	291FBB306E0D6833693C098A44430091	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	3426F3CC0AA18823F6BE591A0BEFC817	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	382310B815D152A3560AB57375D80EC0	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	38D8A9826C05B2EE6C13DB92DE0C504B	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	39E188C8715368128962F356E2A2D9DF	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	3B9E6D270D2F7BF29A5EB161F79E81B5	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	45BA740E6CC0748C3667E8F9BEF2CA72	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	4C5379D044CFAD0F8571CC1D3E913365	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	4D6F92F1A77B92B87AAD8E5B53AC34BF	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	4E7AD745E6141F3E490F68E0DD441923	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	4F05218F0DAFA9A37A462BF5E6D92811	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	52497865866ADA1848DF85B04EBC2FD0	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	59120053FFDCFA5D50AABD1FE9DF20F9	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	5A72A1DFBF9537FCA5817CCE377BC4F9	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	5CEC81ADFB0539D09CD532C088260BC3	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	62521C95F93F7B60631701892A1BF08F	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	6E31EDA88665505484975BF18484444F	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	827AC7F55F038FC45D7F3ABD1A821371	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	88DCDA0FBF0C222215AB3CCDEE43DF70	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	8DB32EE26CAB2305E1661E23F463047D	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	8E773A295B86ECA91AFF221B575DA33A	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	9C4F61009FA39004F1CB893301C93EF1	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	A08F2CADCD6279527D48BBFCD5BA537E	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	A2AC2DE94CBDD0518FE0E462F288AE0D	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	A6BE24C08C54C50D0B57C84727294653	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	A79878ED16099CE21386BA8671871873	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	A821C19BDE81BBDA55C4717A42A7566F	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	A8AE1CECE69B8D3932C26C3187C23594	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	B2AE8518A8050FDE5D0F70DD5DEFD4FE	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	BCB94283215C1BD41DF2984C7F95E25B	反共
FB2BAD1A4A4B0D0485199AFEF8B8BA22	BF12A542E6035D7CBE364F499EFCAEBC	反共
